iter	Passed	Remaining
415	3159	4435
416	3166	4427
417	3174	4419
418	3181	4411
419	3188	4402
420	3193	4391
421	3200	4383
422	3206	4374
423	3214	4366
424	3220	4357
425	3227	4348
426	3234	4340
427	3240	4331
428	3246	4321
429	3253	4312
430	3260	4304
431	3268	4298
432	3275	4289
433	3281	4279
434	3287	4269
435	3293	4260
436	3300	4251
437	3305	4241
438	3311	4231
439	3317	4222
440	3323	4212
441	3329	4203
442	3335	4194
443	3341	4184
444	3347	4175
445	3354	4166
446	3361	4158
447	3368	4150
448	3376	4143
449	3383	4134
450	3389	4125
451	3395	4116
452	3401	4107
453	3408	4099
454	3415	4090
455	3420	4081
456	3427	4072
457	3436	4066
458	3444	4060
459	3454	4055
460	3470	4057
461	3477	4048
462	3483	4040
463	3490	4031
464	3496	4022
465	3504	4015
466	3510	4006
467	3517	3998
468	3524	3989
469	3532	3982
470	3538	3974
471	3545	3966
472	3552	3957
473	3559	3949
474	3566	3941
475	3572	3932
476	3578	3923
477	3584	3914
478	3591	3906
479	3599	3899
480	3607	3892
481	3615	3885
482	3621	3876
483	3627	3867
484	3634	3859
485	3642	3852
486	3648	3843
487	3655	3835
488	3661	3826
489	3667	3817
490	3674	3809
491	3679	3799
492	3687	3792
493	3693	3783
494	3699	3774
495	3707	3767
496	3712	3757
497	3720	3750
498	3725	3740
499	3731	3731
500	3738	3723
501	3745	3715
502	3753	3708
503	3759	3699
504	3766	3691
505	3772	3683
506	3779	3675
507	3786	3667
508	3794	3659
509	3802	3653
510	3808	3644
511	3816	3637
512	3822	3628
513	3828	3619
514	3834	3611
515	3840	3602
516	3846	3593
517	3853	3585
518	3858	3576
519	3865	3568
520	3871	3559
521	3877	3550
522	3884	3542
523	3890	3533
524	3896	3525
525	3902	3516
526	3909	3509
527	3915	3500
528	3921	3491
529	3929	3484
530	3935	3475
531	3942	3467
532	3948	3459
533	3954	3451
534	3961	3442
535	3967	3434
536	3973	3425
537	3979	3416
538	3985	3408
539	3993	3402
540	4001	3394
541	4007	3386
542	4014	3378
543	4021	3370
544	4027	3362
545	4035	3355
546	4041	3346
547	4047	3338
548	4054	3330
549	4060	3322
550	4068	3315
551	4074	3306
552	4080	3298
553	4087	3290
554	4091	3280
555	4099	3273
556	4105	3265
557	4114	3258
558	4120	3250
559	4129	3244
560	4135	3236
561	4144	3230
562	4150	3221
563	4158	3214
564	4165	3206
565	4172	3199
566	4179	3192
567	4186	3184
568	4195	3177
569	4202	3170
570	4210	3163
571	4216	3155
572	4224	3147
573	4233	3141
574	4241	3135
575	4248	3127
576	4258	3121
577	4265	3114
578	4277	3109
579	4290	3106
580	4295	3098
581	4303	3090
582	4309	3082
583	4317	3075
584	4324	3067
585	4332	3060
586	4339	3052
587	4347	3045
588	4353	3038
589	4364	3032
590	4370	3024
591	4376	3016
592	4383	3008
593	4389	3000
594	4396	2992
595	4402	2984
596	4409	2976
597	4415	2968
598	4421	2960
599	4429	2952
600	4435	2944
601	4442	2936
602	4448	2928
603	4455	2921
604	4463	2913
605	4468	2905
606	4475	2897
607	4482	2889
608	4489	2882
609	4495	2873
610	4501	2865
611	4509	2859
612	4515	2850
613	4532	2849
614	4553	2850
615	4566	2846
616	4573	2839
617	4579	2830
618	4584	2822
619	4590	2813
620	4597	2805
621	4603	2797
622	4622	2797
623	4629	2789
624	4635	2781
625	4642	2773
626	4649	2765
627	4655	2757
628	4661	2749
629	4667	2741
630	4675	2733
631	4681	2725
632	4687	2717
633	4693	2709
634	4700	2701
635	4706	2693
636	4713	2685
637	4718	2677
638	4727	2670
639	4734	2663
640	4741	2655
641	4746	2646
642	4752	2638
643	4759	2630
644	4766	2623
645	4772	2615
646	4779	2607
647	4786	2599
648	4792	2592
649	4798	2583
650	4808	2577
651	4814	2569
652	4823	2563
653	4830	2555
654	4837	2548
655	4843	2539
656	4853	2533
657	4860	2526
658	4868	2519
659	4875	2511
660	4882	2504
661	4889	2496
662	4896	2488
663	4902	2480
664	4909	2473
665	4916	2465
666	4923	2457
667	4931	2450
668	4938	2443
669	4945	2435
670	4953	2428
671	4959	2420
672	4966	2413
673	4973	2405
674	4979	2397
675	4987	2390
676	4996	2383
677	5007	2378
678	5018	2372
679	5025	2364
680	5031	2356
681	5039	2349
682	5045	2341
683	5051	2333
684	5059	2326
685	5065	2318
686	5071	2310
687	5078	2302
688	5084	2295
689	5090	2287
690	5096	2278
691	5102	2271
692	5108	2262
693	5113	2254
694	5119	2246
695	5125	2238
696	5132	2231
697	5138	2223
698	5143	2214
699	5150	2207
700	5158	2200
701	5164	2192
702	5171	2184
703	5178	2177
704	5183	2169
705	5192	2162
706	5198	2154
707	5205	2146
708	5213	2139
709	5221	2132
710	5230	2125
711	5240	2119
712	5253	2114
713	5262	2107
714	5267	2099
715	5274	2092
716	5281	2084
717	5288	2076
718	5294	2069
719	5305	2063
720	5311	2055
721	5319	2048
722	5325	2040
723	5331	2032
724	5339	2025
725	5345	2017
726	5352	2009
727	5358	2001
728	5363	1993
729	5370	1986
730	5379	1979
731	5387	1972
732	5394	1964
733	5402	1957
734	5409	1950
735	5418	1943
736	5426	1936
737	5433	1928
738	5438	1920
739	5445	1913
740	5453	1906
741	5459	1898
742	5466	1891
743	5473	1883
744	5482	1876
745	5489	1868
746	5496	1861
747	5503	1854
748	5509	1846
749	5515	1838
750	5520	1830
751	5527	1822
752	5534	1815
753	5542	1808
754	5551	1801
755	5559	1794
756	5564	1786
757	5573	1779
758	5580	1771
759	5588	1764
760	5594	1756
761	5600	1749
762	5606	1741
763	5612	1733
764	5618	1725
765	5624	1718
766	5630	1710
767	5638	1703
768	5645	1695
769	5652	1688
770	5660	1681
771	5668	1674
772	5675	1666
773	5682	1659
774	5690	1651
775	5698	1644
776	5705	1637
777	5714	1630
778	5723	1623
779	5732	1616
780	5738	1609
781	5746	1601
782	5753	1594
783	5763	1587
784	5771	1580
785	5781	1573
786	5789	1566
787	5795	1559
788	5805	1552
789	5814	1545
790	5825	1539
791	5839	1533
792	5847	1526
793	5853	1518
794	5859	1510
795	5865	1503
796	5870	1495
797	5876	1487
798	5882	1479
799	5888	1472
800	5894	1464
801	5901	1456
802	5906	1449
803	5912	1441
804	5919	1433
805	5924	1425
806	5930	1418
807	5936	1410
808	5941	1402
809	5951	1395
810	5959	1388
811	5967	1381
812	5975	1374
813	5982	1366
814	5989	1359
815	5996	1352
816	6009	1345
817	6019	1339
818	6026	1331
819	6033	1324
820	6040	1316
821	6048	1309
822	6053	1301
823	6059	1294
824	6065	1286
825	6071	1279
826	6078	1271
827	6085	1264
828	6091	1256
829	6097	1248
830	6104	1241
831	6110	1233
832	6116	1226
833	6124	1218
834	6130	1211
835	6139	1204
836	6149	1197
837	6175	1193
838	6188	1187
839	6198	1180
840	6210	1174
841	6220	1167
842	6227	1159
843	6235	1152
844	6244	1145
845	6250	1137
846	6257	1130
847	6265	1123
848	6271	1115
849	6279	1108
850	6288	1101
851	6295	1093
852	6301	1085
853	6309	1078
854	6315	1071
855	6322	1063
856	6331	1056
857	6337	1048
858	6343	1041
859	6349	1033
860	6356	1026
861	6365	1019
862	6373	1011
863	6379	1004
864	6387	996
865	6394	989
866	6402	982
867	6443	979
868	6452	972
869	6460	965
870	6468	958
871	6500	954
872	6511	947
873	6518	939
874	6523	931
875	6531	924
876	6541	917
877	6550	910
878	6555	902
879	6564	895
880	6574	888
881	6581	880
882	6588	872
883	6597	865
884	6604	858
885	6613	850
886	6620	843
887	6627	835
888	6632	828
889	6639	820
890	6645	812
891	6650	805
892	6657	797
893	6662	789
894	6667	782
895	6674	774
