iter	Passed	Remaining
416	2936	4105
417	2943	4098
418	2949	4089
419	2956	4083
420	2962	4074
421	2970	4068
422	2976	4060
423	2985	4055
424	2991	4046
425	3001	4044
426	3008	4037
427	3015	4029
428	3021	4021
429	3027	4012
430	3033	4005
431	3040	3997
432	3046	3989
433	3053	3981
434	3059	3974
435	3067	3967
436	3075	3961
437	3082	3954
438	3088	3946
439	3094	3938
440	3101	3931
441	3107	3923
442	3114	3915
443	3120	3907
444	3127	3900
445	3133	3891
446	3139	3884
447	3145	3875
448	3151	3867
449	3158	3860
450	3164	3852
451	3171	3845
452	3177	3836
453	3182	3827
454	3188	3819
455	3194	3811
456	3200	3802
457	3206	3794
458	3213	3787
459	3222	3782
460	3228	3774
461	3235	3768
462	3242	3760
463	3249	3753
464	3256	3746
465	3263	3739
466	3269	3731
467	3275	3722
468	3281	3714
469	3286	3706
470	3293	3699
471	3299	3691
472	3305	3682
473	3311	3674
474	3317	3666
475	3323	3658
476	3329	3650
477	3334	3641
478	3342	3635
479	3347	3626
480	3354	3619
481	3360	3611
482	3366	3603
483	3371	3594
484	3377	3586
485	3382	3577
486	3388	3569
487	3394	3561
488	3401	3554
489	3407	3546
490	3414	3539
491	3420	3531
492	3426	3523
493	3433	3516
494	3438	3508
495	3446	3501
496	3452	3494
497	3459	3487
498	3466	3480
499	3473	3473
500	3480	3466
501	3486	3458
502	3493	3452
503	3499	3444
504	3507	3437
505	3513	3429
506	3518	3421
507	3525	3414
508	3531	3407
509	3539	3400
510	3545	3392
511	3551	3384
512	3557	3377
513	3563	3369
514	3570	3362
515	3576	3354
516	3582	3346
517	3588	3339
518	3595	3331
519	3601	3324
520	3608	3317
521	3615	3310
522	3621	3302
523	3628	3296
524	3635	3288
525	3641	3281
526	3646	3273
527	3653	3265
528	3659	3258
529	3665	3250
530	3672	3243
531	3678	3235
532	3684	3227
533	3690	3220
534	3696	3212
535	3701	3204
536	3708	3197
537	3714	3189
538	3721	3182
539	3727	3175
540	3734	3168
541	3741	3161
542	3747	3153
543	3755	3147
544	3764	3142
545	3771	3136
546	3778	3128
547	3784	3121
548	3791	3114
549	3797	3106
550	3804	3099
551	3812	3093
552	3818	3086
553	3825	3079
554	3832	3073
555	3838	3065
556	3846	3059
557	3852	3051
558	3860	3045
559	3868	3039
560	3878	3035
561	3885	3028
562	3894	3023
563	3900	3015
564	3907	3008
565	3913	3000
566	3919	2993
567	3926	2986
568	3932	2978
569	3940	2972
570	3947	2965
571	3955	2960
572	3964	2954
573	3971	2947
574	3977	2940
575	3983	2932
576	3990	2925
577	3996	2917
578	4001	2909
579	4008	2903
580	4015	2895
581	4021	2888
582	4027	2880
583	4032	2872
584	4039	2865
585	4045	2858
586	4051	2850
587	4057	2843
588	4065	2836
589	4073	2830
590	4079	2823
591	4085	2815
592	4092	2808
593	4098	2801
594	4104	2793
595	4111	2786
596	4117	2779
597	4123	2772
598	4129	2764
599	4137	2758
600	4143	2751
601	4151	2744
602	4158	2737
603	4174	2736
604	4182	2730
605	4189	2723
606	4195	2716
607	4201	2709
608	4208	2702
609	4215	2694
610	4221	2687
611	4227	2680
612	4233	2672
613	4239	2665
614	4246	2658
615	4252	2650
616	4258	2643
617	4265	2636
618	4271	2629
619	4277	2621
620	4284	2614
621	4290	2607
622	4296	2599
