iter	Passed	Remaining
414	3052	4302
415	3058	4293
416	3063	4283
417	3069	4273
418	3076	4265
419	3082	4256
420	3089	4248
421	3095	4240
422	3101	4231
423	3107	4222
424	3122	4225
425	3136	4226
426	3141	4216
427	3149	4209
428	3156	4201
429	3163	4193
430	3171	4187
431	3178	4178
432	3185	4171
433	3193	4164
434	3201	4157
435	3208	4150
436	3216	4143
437	3223	4136
438	3231	4129
439	3238	4121
440	3246	4114
441	3252	4106
442	3261	4100
443	3268	4093
444	3274	4084
445	3281	4076
446	3288	4068
447	3294	4059
448	3301	4050
449	3310	4045
450	3317	4038
451	3327	4033
452	3332	4024
453	3339	4015
454	3345	4007
455	3377	4029
456	3391	4029
457	3397	4020
458	3412	4022
459	3419	4014
460	3425	4005
461	3432	3996
462	3439	3988
463	3445	3980
464	3450	3970
465	3454	3958
466	3460	3949
467	3467	3941
468	3474	3933
469	3481	3925
470	3488	3917
471	3496	3911
472	3502	3901
473	3509	3894
474	3516	3886
475	3524	3879
476	3531	3871
477	3538	3863
478	3546	3857
479	3552	3848
480	3560	3841
481	3565	3832
482	3573	3825
483	3580	3817
484	3585	3806
485	3591	3798
486	3596	3788
487	3608	3785
488	3615	3777
489	3621	3769
490	3628	3761
491	3634	3752
492	3643	3746
493	3650	3739
494	3658	3732
495	3670	3729
496	3676	3720
497	3685	3715
498	3695	3709
499	3706	3706
500	3715	3700
501	3722	3692
502	3729	3684
503	3735	3676
504	3747	3673
505	3755	3666
506	3767	3663
507	3776	3657
508	3783	3649
509	3794	3645
510	3802	3639
511	3809	3631
512	3814	3621
513	3821	3613
514	3828	3605
515	3836	3598
516	3842	3589
517	3848	3580
518	3854	3572
519	3860	3563
520	3866	3554
521	3872	3546
522	3876	3535
523	3882	3526
524	3888	3518
525	3905	3519
526	3917	3515
527	3927	3510
528	3936	3504
529	3944	3498
530	3950	3489
531	3959	3483
532	3968	3477
533	3977	3471
534	3990	3468
535	3996	3459
536	4005	3453
537	4011	3444
538	4016	3435
539	4024	3428
540	4030	3419
541	4036	3411
542	4042	3402
543	4048	3393
544	4054	3384
545	4060	3375
546	4067	3368
547	4073	3359
548	4079	3351
549	4084	3342
550	4089	3332
551	4095	3324
552	4101	3315
553	4112	3310
554	4118	3302
555	4127	3295
556	4134	3288
557	4146	3284
558	4154	3277
559	4162	3270
560	4169	3263
561	4178	3256
562	4185	3248
563	4192	3241
564	4199	3233
565	4207	3226
566	4213	3217
567	4217	3207
568	4223	3199
569	4229	3190
570	4238	3184
571	4244	3176
572	4251	3168
573	4256	3159
574	4262	3150
575	4270	3143
576	4276	3135
577	4282	3126
578	4288	3118
579	4299	3113
580	4306	3105
581	4320	3103
582	4328	3096
583	4335	3088
584	4342	3080
585	4349	3072
586	4355	3064
587	4362	3056
588	4368	3048
589	4377	3041
590	4384	3034
591	4391	3026
592	4398	3018
593	4404	3010
594	4411	3002
595	4417	2994
596	4425	2987
597	4432	2979
598	4444	2975
599	4452	2968
600	4459	2960
601	4466	2952
602	4472	2944
603	4480	2937
604	4487	2929
605	4493	2921
606	4500	2913
607	4507	2905
608	4513	2897
609	4522	2891
610	4530	2884
611	4536	2875
612	4542	2867
613	4548	2859
614	4554	2851
615	4560	2842
616	4566	2834
617	4572	2826
618	4579	2818
619	4586	2810
620	4593	2803
621	4599	2795
622	4608	2788
623	4614	2780
624	4623	2773
625	4630	2766
626	4638	2759
627	4645	2751
628	4652	2743
629	4658	2736
630	4665	2728
631	4671	2719
632	4675	2710
633	4684	2704
634	4693	2697
635	4699	2689
636	4705	2681
637	4712	2673
638	4718	2665
639	4724	2657
640	4730	2649
641	4736	2640
642	4742	2633
643	4748	2624
644	4754	2616
645	4760	2608
646	4766	2600
647	4772	2592
648	4782	2586
649	4790	2579
650	4797	2571
651	4804	2564
652	4811	2557
653	4818	2549
654	4824	2540
655	4830	2532
656	4837	2525
657	4844	2517
658	4852	2510
659	4859	2503
660	4868	2497
661	4880	2491
662	4889	2485
663	4897	2478
664	4905	2471
665	4912	2463
666	4920	2456
667	4928	2449
668	4935	2441
669	4944	2435
670	4951	2427
671	4960	2420
672	4967	2413
673	4975	2406
674	4981	2398
675	4986	2390
676	4992	2381
677	4998	2373
678	5004	2365
679	5010	2358
680	5016	2349
681	5022	2341
682	5028	2333
683	5035	2326
684	5041	2318
685	5047	2310
686	5053	2302
687	5060	2294
688	5071	2289
689	5082	2283
690	5089	2275
691	5095	2268
692	5100	2259
693	5107	2251
694	5114	2244
695	5120	2236
696	5138	2233
697	5151	2228
698	5157	2221
699	5168	2214
700	5175	2207
701	5182	2199
702	5188	2192
703	5198	2185
704	5207	2178
705	5213	2170
706	5220	2163
707	5225	2155
708	5231	2147
709	5237	2139
710	5243	2131
711	5250	2123
712	5256	2115
713	5265	2109
714	5276	2103
715	5283	2095
716	5289	2087
717	5296	2080
718	5302	2072
719	5309	2064
720	5315	2057
721	5322	2049
722	5328	2041
723	5335	2033
724	5343	2026
725	5351	2019
726	5359	2012
727	5366	2004
728	5371	1996
729	5378	1989
730	5386	1982
731	5392	1974
732	5398	1966
733	5403	1958
734	5409	1950
735	5416	1942
736	5421	1934
737	5428	1927
738	5434	1919
739	5438	1910
740	5445	1903
741	5451	1895
742	5460	1888
743	5470	1882
744	5477	1874
745	5483	1867
746	5489	1859
747	5497	1852
748	5504	1844
749	5512	1837
750	5518	1829
751	5524	1822
752	5530	1814
753	5537	1806
754	5543	1798
755	5549	1791
756	5556	1783
757	5562	1775
758	5568	1768
759	5577	1761
760	5583	1753
761	5589	1745
762	5595	1738
763	5601	1730
764	5607	1722
765	5614	1715
766	5620	1707
767	5628	1700
768	5634	1692
769	5641	1685
770	5647	1677
771	5653	1669
772	5660	1662
773	5666	1654
774	5674	1647
775	5683	1640
776	5689	1632
777	5695	1625
778	5701	1617
779	5708	1610
780	5714	1602
781	5721	1594
782	5727	1587
783	5735	1580
784	5742	1572
785	5748	1565
786	5759	1558
787	5765	1551
788	5771	1543
789	5778	1536
790	5785	1528
791	5791	1520
792	5798	1513
793	5804	1506
794	5814	1499
795	5820	1491
796	5827	1484
797	5834	1476
798	5844	1470
799	5854	1463
800	5860	1456
801	5866	1448
802	5873	1441
803	5880	1433
804	5886	1425
805	5892	1418
806	5898	1410
807	5904	1403
808	5912	1395
809	5919	1388
810	5924	1380
811	5930	1373
812	5936	1365
813	5941	1357
814	5947	1349
815	5952	1342
816	5958	1334
817	5964	1326
818	5970	1319
819	5976	1311
820	5982	1304
821	5989	1296
822	5995	1289
823	6001	1281
824	6009	1274
825	6017	1267
826	6024	1260
827	6029	1252
828	6035	1245
829	6041	1237
830	6048	1229
831	6056	1222
832	6063	1215
833	6070	1208
834	6075	1200
835	6081	1193
836	6087	1185
837	6094	1178
838	6099	1170
839	6105	1162
840	6111	1155
841	6118	1148
842	6123	1140
843	6129	1132
844	6134	1125
845	6138	1117
846	6144	1109
847	6150	1102
848	6156	1094
849	6162	1087
850	6168	1079
851	6173	1072
852	6179	1064
853	6184	1057
854	6189	1049
855	6195	1042
856	6200	1034
857	6206	1027
858	6213	1019
859	6219	1012
860	6228	1005
861	6235	998
862	6241	990
863	6250	983
864	6258	976
865	6264	969
866	6272	962
867	6278	954
868	6285	947
869	6292	940
870	6299	932
871	6305	925
872	6312	918
873	6318	910
874	6325	903
875	6331	896
876	6337	888
877	6346	881
878	6352	874
879	6358	867
880	6366	859
881	6373	852
882	6380	845
883	6386	838
884	6393	830
885	6399	823
886	6408	816
887	6415	809
888	6422	801
889	6429	794
890	6436	787
891	6481	784
892	6490	777
893	6504	771
894	6528	765
895	6540	759
896	6550	752
897	6556	744
898	6561	737
899	6568	729
900	6575	722
901	6582	715
902	6588	707
903	6606	701
904	6615	694
905	6625	687
906	6635	680
907	6643	673
908	6650	665
909	6656	658
910	6664	651
911	6670	643
912	6676	636
913	6687	629
914	6693	621
915	6699	614
916	6705	606
917	6711	599
918	6718	592
919	6726	584
920	6732	577
921	6738	570
922	6744	562
923	6749	555
924	6754	547
925	6761	540
926	6767	532
927	6774	525
928	6780	518
929	6793	511
930	6802	504
931	6809	496
932	6816	489
933	6821	482
934	6829	474
935	6839	467
936	6845	460
937	6852	452
938	6863	445
939	6871	438
940	6884	431
941	6895	424
942	6919	418
943	6948	412
944	6953	404
945	6966	397
946	6981	390
947	6988	383
948	6998	376
949	7009	368
950	7016	361
951	7025	354
952	7040	347
953	7047	339
954	7054	332
955	7061	325
956	7068	317
957	7075	310
958	7082	302
959	7090	295
