iter	Logloss
0	0.6871088962
1	0.6801803997
2	0.6719458566
3	0.665234569
4	0.6583468934
5	0.652128224
6	0.646762324
7	0.6410703147
8	0.6343910907
9	0.6287261907
10	0.622624747
11	0.6169715846
12	0.6115580415
13	0.6062741665
14	0.6015648241
15	0.5960085595
16	0.590268404
17	0.5849664216
18	0.5795713307
19	0.5741885607
20	0.5684648756
21	0.5641664868
22	0.5601401353
23	0.5546808294
24	0.5503331135
25	0.5456441625
26	0.5419242753
27	0.5375412606
28	0.5336414407
29	0.5295655391
30	0.5261919523
31	0.5212574619
32	0.5179871886
33	0.5139513588
34	0.5093818284
35	0.5057198103
36	0.5016530721
37	0.4972426336
38	0.4935114724
39	0.49008485
40	0.4869239495
41	0.484137788
42	0.4802389105
43	0.4761761578
44	0.4726602726
45	0.4696986434
46	0.4668712165
47	0.4631447852
48	0.4599841904
49	0.4566342006
50	0.4536268498
51	0.4507671457
52	0.4483940042
53	0.4469962233
54	0.4441096591
55	0.4415012784
56	0.4385751799
57	0.4354889067
58	0.4343455658
59	0.4320189938
60	0.4296463593
61	0.4273249849
62	0.4246633514
63	0.4216290636
64	0.4190479488
65	0.4170062701
66	0.4146337584
67	0.4130137579
68	0.410507939
69	0.4085542047
70	0.4064772942
71	0.4041730388
72	0.4020866012
73	0.4001025278
74	0.397957219
75	0.3956376753
76	0.3940081092
77	0.3920006071
78	0.3898719172
79	0.3879103503
80	0.3861237559
81	0.3842838439
82	0.3824313867
83	0.3813271848
84	0.3790555366
85	0.3777970218
86	0.3758855673
87	0.373762325
88	0.3721949033
89	0.3704796004
90	0.3686347528
91	0.3671650861
92	0.3656924768
93	0.3637646852
94	0.3628291451
95	0.3612082813
96	0.3605797568
97	0.3591248167
98	0.357812899
99	0.3565673909
100	0.355027425
101	0.3538350296
102	0.3524432376
103	0.3508352726
104	0.3495912294
105	0.3481866279
106	0.3478264349
107	0.3464666536
108	0.3450859853
109	0.344772164
110	0.3439802678
111	0.3425305747
112	0.3414821792
113	0.3401746657
114	0.3393574496
115	0.338322962
116	0.3369625409
117	0.3355848327
118	0.3345275688
119	0.333142371
120	0.3318160969
121	0.3306018798
122	0.3294751839
123	0.3288414423
124	0.3279069279
125	0.3265373717
126	0.3251945302
127	0.3235728993
128	0.3224130323
129	0.32200685
130	0.3207630771
131	0.3197221705
132	0.3187327009
133	0.3180301856
134	0.3167510057
135	0.315665214
136	0.3147521768
137	0.3135602857
138	0.3129455599
139	0.3124124432
140	0.31126994
141	0.3105334728
142	0.3095625718
143	0.3088296791
144	0.3083167496
145	0.3073208939
146	0.3062433712
147	0.3056459492
148	0.3046513397
149	0.3037463037
150	0.3029085199
151	0.3020639558
152	0.3012316587
153	0.3002252192
154	0.2995944689
155	0.2990059613
156	0.2982221569
157	0.2974707385
158	0.2966089254
159	0.2961482218
160	0.2954332714
161	0.2946521331
162	0.2934733869
163	0.2926997193
164	0.2917089567
165	0.2907257159
166	0.2897420335
167	0.2887371475
168	0.2881091914
169	0.2873550951
170	0.2869495729
171	0.286247257
172	0.2854863976
173	0.2848804205
174	0.2844777342
175	0.2838700576
176	0.2830324447
177	0.2820813996
178	0.2815107481
179	0.2810686908
180	0.2805120882
181	0.2798034548
182	0.2793403389
183	0.2789190607
184	0.278444909
185	0.2775622983
186	0.2770279375
187	0.2761337147
188	0.275758206
189	0.2750223067
190	0.2742682642
191	0.2735292269
192	0.2727106247
193	0.2721230415
194	0.2715483678
195	0.2709759037
196	0.2704029834
197	0.2697231114
198	0.269008319
199	0.2682885281
200	0.2676418484
201	0.2672933055
202	0.2667496448
203	0.2660000519
204	0.2656265175
205	0.265138222
206	0.2646973908
207	0.2641751505
208	0.2637696178
209	0.2634351559
210	0.2633446539
211	0.2627972777
212	0.2623521893
213	0.2616808595
214	0.2611844972
215	0.2606166626
216	0.2601119126
217	0.2596722175
218	0.2593154495
219	0.2585397265
220	0.258171858
221	0.2577264686
222	0.2573490914
223	0.2566165832
224	0.2561590354
225	0.2555388088
226	0.2548252761
227	0.2544206605
228	0.2539558668
229	0.2533197956
