iter	RMSE
455	44121.1606
456	44075.92194
457	44069.52959
458	44031.22526
459	44026.27324
460	43976.97217
461	43964.77775
462	43919.37234
463	43913.66356
464	43859.34431
465	43803.05588
466	43789.95494
467	43754.76458
468	43691.726
469	43657.02715
470	43562.50128
471	43527.69588
472	43497.71707
473	43417.15673
474	43392.5875
475	43384.38318
476	43372.91396
477	43357.82997
478	43354.8058
479	43331.00483
480	43323.44753
481	43303.46655
482	43255.16251
483	43235.11666
484	43193.09403
485	43140.68565
486	43101.16555
487	43058.22364
488	42997.10031
489	42921.0916
490	42871.40955
491	42844.63657
492	42830.48384
493	42803.7685
494	42753.70483
495	42723.97217
496	42670.5906
497	42602.41075
498	42597.47635
499	42577.53031
500	42533.21986
501	42484.81766
502	42428.08886
503	42420.77826
504	42399.28522
505	42319.85345
506	42269.30707
507	42265.20568
508	42246.51745
509	42222.47906
510	42186.51527
511	42180.0629
512	42175.23505
513	42125.66545
514	42048.67386
515	42014.71255
516	42005.21876
517	41972.16566
518	41932.20066
519	41905.9914
520	41880.0159
521	41827.13957
522	41756.37881
523	41716.35565
524	41693.74849
525	41674.64085
526	41644.85912
527	41634.07757
528	41628.65465
529	41581.36517
530	41516.66604
531	41506.10939
532	41469.55116
533	41430.75546
534	41376.83668
535	41365.33655
536	41353.16886
537	41302.12517
538	41237.7199
539	41222.33656
540	41217.99867
541	41207.58957
542	41172.09172
543	41103.79104
544	41046.63652
545	40992.72228
546	40985.43082
547	40975.76597
548	40928.97028
549	40925.2317
550	40875.43577
551	40854.52356
552	40832.40193
553	40787.14201
554	40759.93917
555	40747.75979
556	40729.67436
557	40658.284
558	40610.72396
559	40549.25701
560	40516.35576
561	40479.54695
562	40474.90669
563	40451.8973
564	40396.55934
565	40363.32688
566	40320.81039
567	40278.97888
568	40245.97314
569	40241.15255
570	40238.90874
571	40201.7956
572	40198.6013
573	40135.08248
574	40112.87123
575	40064.70414
576	40023.20567
577	40006.61622
578	39952.9741
579	39892.9085
580	39859.95233
581	39839.61625
582	39820.44777
583	39798.46578
584	39793.99489
585	39750.68377
586	39744.69149
587	39735.27771
588	39706.75389
589	39703.36858
590	39700.65546
591	39668.8274
592	39636.88359
593	39585.99307
594	39565.83958
595	39510.07048
596	39484.39922
597	39471.36481
598	39428.05559
599	39372.115
600	39368.65791
601	39330.64962
602	39323.08987
603	39290.86746
604	39266.72971
605	39198.69986
606	39169.23243
607	39123.07543
608	39070.24364
609	39049.46478
610	39045.83872
611	39043.89131
612	38965.70057
613	38950.36354
614	38889.76918
615	38882.92783
616	38842.85852
617	38803.10993
618	38799.9549
619	38774.01546
620	38732.52732
621	38690.47482
622	38663.40873
623	38640.04396
624	38603.47188
625	38593.22389
626	38550.86695
627	38524.22699
628	38481.46345
629	38446.44866
630	38398.28669
631	38360.54401
632	38336.62927
633	38330.04858
634	38299.50943
635	38253.36499
636	38199.612
637	38155.19744
638	38152.61353
639	38098.31049
640	38086.95195
641	38041.92767
642	38006.74654
643	37981.99577
644	37945.25621
645	37909.99707
646	37904.18538
647	37859.54725
648	37824.61042
649	37809.10018
650	37799.2943
651	37792.49233
652	37752.50214
653	37733.62088
654	37674.6811
655	37642.24388
656	37579.98517
657	37577.40937
658	37570.44936
659	37557.86909
660	37541.57688
661	37507.74136
662	37462.89935
663	37441.37909
664	37434.6374
665	37423.82059
666	37417.74392
667	37411.95164
668	37393.56513
669	37357.16055
670	37353.90091
671	37304.05901
672	37293.22521
673	37259.86104
674	37254.08186
675	37246.81106
676	37232.34542
677	37216.18263
678	37157.96485
679	37115.61818
680	37090.45419
681	37049.34938
682	37005.9709
683	36966.08475
684	36963.22315
685	36942.14605
686	36933.25272
687	36890.97459
688	36889.28008
689	36851.18113
690	36835.82399
691	36788.74435
692	36773.73119
693	36754.75142
694	36735.56242
695	36694.99786
696	36672.88034
697	36633.92176
698	36594.65242
699	36579.46483
700	36543.5352
701	36509.75071
702	36506.99968
703	36488.52319
704	36465.77806
705	36436.2714
706	36378.8726
707	36357.85019
708	36355.84139
709	36322.79359
710	36319.91154
711	36289.16346
712	36252.15339
713	36248.50106
714	36226.67849
715	36192.11095
716	36166.87369
717	36151.3112
718	36146.75368
719	36103.53411
720	36067.87162
721	36031.30063
722	35993.95063
723	35980.27317
724	35967.4913
725	35925.22376
726	35872.1998
727	35843.62677
728	35821.92247
729	35795.51347
730	35785.23952
731	35767.63904
732	35728.55726
733	35702.98996
734	35679.39436
735	35667.83496
736	35665.15884
737	35631.62381
738	35592.08447
739	35576.66678
740	35546.48901
741	35529.47322
742	35493.09115
743	35474.43671
744	35460.15231
745	35459.11325
746	35445.69983
747	35435.66727
748	35382.33563
749	35352.8247
750	35342.08812
751	35328.86898
752	35293.58465
753	35253.27923
754	35219.94285
755	35200.44666
756	35185.62667
757	35144.56133
758	35119.0224
759	35102.61227
760	35075.12663
761	35056.03342
762	35050.6578
763	35036.6528
764	35027.5255
765	34998.02379
766	34984.84143
767	34967.05646
768	34931.23019
769	34917.83168
770	34890.92737
771	34853.71789
772	34818.57845
773	34763.25744
774	34719.7471
775	34707.06141
776	34665.60611
777	34633.79535
778	34603.52838
779	34558.86056
780	34541.41431
781	34518.26929
782	34516.62563
783	34498.87827
784	34495.84823
785	34457.97765
786	34446.68848
787	34399.73785
788	34361.64293
789	34328.27968
790	34296.80066
791	34294.39384
792	34292.49022
793	34257.76474
794	34255.64232
795	34227.70031
796	34198.47454
797	34161.51752
798	34124.731
799	34098.88617
800	34095.1119
801	34062.8935
802	34040.9969
803	34006.66641
804	33979.90718
805	33955.10729
806	33921.33868
807	33891.26205
808	33879.8954
809	33868.62054
810	33820.55245
811	33781.60062
812	33745.43279
813	33718.84072
814	33692.56987
815	33667.31018
816	33621.85486
817	33587.5207
818	33574.99448
819	33554.40613
820	33516.8107
821	33514.94612
822	33505.31765
823	33467.15672
824	33437.11431
825	33431.58087
826	33410.64425
827	33404.65252
828	33364.68653
829	33347.72684
830	33299.33838
831	33293.79248
832	33259.46453
833	33239.20277
834	33238.22672
835	33230.87365
836	33228.63543
837	33205.32426
838	33177.37137
839	33138.8451
840	33116.46339
841	33093.04027
842	33080.0299
843	33058.80845
844	33038.13938
845	33018.8971
846	32986.47208
847	32985.10459
848	32979.57089
849	32961.99402
850	32925.958
851	32897.9713
852	32896.00953
853	32880.40976
854	32853.64811
855	32827.72037
856	32812.65443
857	32797.64704
858	32781.46662
859	32768.15933
860	32756.36771
861	32746.29753
862	32704.89231
863	32703.47155
864	32695.16438
865	32693.51796
866	32690.4435
867	32669.94156
868	32668.75411
869	32642.42294
870	32629.66265
871	32601.1437
872	32583.31409
873	32568.47668
874	32560.08261
875	32546.09038
876	32539.76731
877	32510.1436
878	32484.71
879	32483.18951
880	32468.87932
881	32425.69194
882	32424.26048
883	32386.24679
884	32374.25695
885	32346.94708
886	32327.12212
887	32302.99629
888	32292.68106
889	32285.2242
890	32261.44259
891	32230.58861
892	32200.25115
893	32190.68491
894	32189.41328
895	32188.27006
896	32164.61808
897	32144.62861
898	32124.41397
899	32112.09328
900	32069.21607
901	32046.72414
902	32026.34596
903	31994.13651
904	31986.26382
905	31948.17622
906	31941.3642
907	31917.17464
908	31866.45747
909	31860.59363
910	31833.68896
911	31802.69322
912	31773.79919
913	31767.39012
914	31762.49439
915	31751.34974
916	31721.62162
917	31707.58044
918	31684.62853
919	31667.9455
920	31639.42058
921	31605.08448
922	31569.89333
923	31529.01054
924	31487.91542
925	31486.95957
926	31456.80945
927	31433.51258
928	31430.95942
929	31413.54401
930	31389.1981
931	31382.24814
932	31379.26979
933	31358.24185
934	31338.2451
935	31309.47158
936	31307.23243
937	31288.0533
938	31271.76062
939	31253.51321
940	31227.7476
941	31219.20462
942	31204.96023
943	31194.86799
944	31192.47218
945	31176.59007
946	31159.11924
947	31156.86673
948	31119.64038
949	31091.40681
950	31060.56621
951	31053.82316
952	31033.37654
953	31006.3935
954	30963.13824
955	30944.08252
956	30941.68273
957	30937.27823
958	30920.4086
959	30913.30249
960	30881.73447
961	30879.8271
962	30867.27704
963	30845.89831
964	30829.72607
965	30796.62718
966	30785.93329
967	30750.07076
968	30731.54254
969	30708.24864
970	30691.46846
971	30681.89582
972	30680.15247
973	30659.91356
974	30647.80896
975	30646.54396
976	30632.94237
977	30594.76764
978	30574.10645
979	30546.58732
980	30539.50428
981	30525.49331
982	30467.78183
983	30463.58054
984	30450.98606
985	30429.88796
986	30425.46658
987	30413.41436
988	30386.14726
989	30376.47423
990	30339.47832
991	30316.80693
992	30298.2056
993	30296.42161
994	30281.80724
995	30252.67517
996	30231.92326
997	30208.19377
998	30155.5023
999	30152.17957
