iter	Passed	Remaining
415	2665	3742
416	2669	3731
417	2672	3721
418	2676	3710
419	2679	3700
420	2682	3689
421	2686	3679
422	2689	3669
423	2693	3659
424	2697	3649
425	2703	3642
426	2710	3636
427	2723	3639
428	2731	3635
429	2736	3627
430	2742	3620
431	2747	3611
432	2751	3602
433	2755	3593
434	2759	3584
435	2763	3575
436	2769	3567
437	2772	3557
438	2777	3548
439	2780	3538
440	2783	3528
441	2789	3522
442	2794	3513
443	2797	3503
444	2801	3493
445	2805	3484
446	2809	3475
447	2812	3465
448	2815	3455
449	2820	3446
450	2823	3437
451	2827	3427
452	2831	3419
453	2835	3409
454	2838	3400
455	2842	3390
456	2846	3381
457	2855	3378
458	2857	3368
459	2862	3359
460	2865	3350
461	2868	3340
462	2872	3331
463	2875	3321
464	2881	3315
465	2886	3307
466	2893	3302
467	2898	3294
468	2912	3297
469	2917	3289
470	2923	3283
471	2928	3276
472	2934	3269
473	2942	3264
474	2963	3275
475	2967	3267
476	2974	3261
477	2980	3254
478	2985	3247
479	2989	3238
480	2993	3229
481	3000	3225
482	3005	3216
483	3008	3207
484	3015	3202
485	3020	3194
486	3023	3184
487	3029	3178
488	3035	3172
489	3040	3164
490	3044	3156
491	3049	3148
492	3055	3141
493	3060	3134
494	3064	3126
495	3070	3119
496	3078	3115
497	3082	3107
498	3092	3104
499	3099	3099
500	3106	3094
501	3110	3086
502	3114	3077
503	3119	3069
504	3124	3062
505	3141	3066
506	3145	3059
507	3151	3052
508	3155	3044
509	3160	3036
510	3165	3028
511	3178	3029
512	3189	3027
513	3194	3020
514	3200	3013
515	3204	3006
516	3208	2997
517	3211	2988
518	3215	2980
519	3218	2971
520	3222	2962
521	3226	2954
522	3230	2946
523	3234	2938
524	3238	2929
525	3242	2921
526	3247	2914
527	3250	2905
528	3254	2897
529	3259	2890
530	3263	2882
531	3266	2873
532	3274	2868
533	3280	2862
534	3285	2855
535	3294	2852
536	3300	2846
537	3305	2838
538	3310	2831
539	3315	2824
540	3319	2816
541	3324	2808
542	3327	2800
543	3331	2792
544	3334	2783
545	3337	2775
546	3340	2766
547	3345	2759
548	3352	2754
549	3358	2748
550	3366	2742
551	3370	2735
552	3375	2728
553	3380	2721
554	3384	2714
555	3390	2707
556	3394	2699
557	3398	2691
558	3403	2685
559	3409	2678
560	3414	2671
561	3419	2664
562	3423	2657
563	3427	2649
564	3431	2642
565	3436	2634
566	3440	2627
567	3444	2619
568	3451	2614
569	3456	2607
570	3469	2606
571	3483	2606
572	3488	2599
573	3496	2595
574	3500	2587
575	3503	2579
576	3508	2572
577	3512	2564
578	3516	2556
579	3523	2551
580	3527	2543
581	3530	2535
582	3535	2528
583	3539	2521
584	3547	2516
585	3551	2509
586	3560	2505
587	3565	2498
588	3569	2491
589	3573	2483
590	3578	2476
591	3582	2469
592	3589	2463
593	3594	2456
594	3598	2449
595	3605	2444
596	3610	2437
597	3615	2430
